EncuestaID,Fecha,ClienteID,SucursalID,Puntuacion,Comentario,AsesorID,Canal,TiempoRespuesta,Estado
ENC001,2024-01-15,CLI001,SUC001,2,"El servicio fue pésimo, me hicieron esperar más de 2 horas para un trámite simple. El asesor Juan no sabía nada sobre los planes nuevos y me dio información incorrecta. Encima la señal en la sucursal era malísima, no podía ni hacer llamadas. Definitivamente no recomiendo esta empresa a nadie.",ASE001,Presencial,145,Completada
ENC002,2024-01-16,CLI002,SUC002,8,"Muy buena atención, el personal fue amable y resolvió mi problema rápidamente. Solo que el local estaba un poco congestionado pero la experiencia en general fue positiva. Recomiendo mejorar la ventilación.",ASE002,Online,25,Completada
ENC003,2024-01-17,CLI003,SUC001,1,"HORRIBLE!!! 😡😡😡 3 HORAS esperando para que me digan que no pueden hacer el trámite. El sistema se cayó 2 veces y nadie sabía qué hacer. La señora de ventanilla súper grosera, parecía que le estaba pidiendo un favor. NUNCA MÁS vuelvo acá",ASE003,Presencial,180,Completada
ENC004,2024-01-18,CLI004,SUC003,6,"Regular nomás, nada del otro mundo. El chico que me atendió era nuevo y tuvo que preguntar varias veces a su supervisor. Al final solucionó mi tema pero demoró bastante. La sucursal estaba limpia eso sí.",ASE004,Presencial,65,Completada
ENC005,2024-01-19,CLI005,SUC002,9,"Excelente servicio! La verdad me sorprendió gratamente. María fue súper profesional y me ayudó con todo lo que necesitaba. Además me explicó las nuevas promociones de manera clara. 10/10 volvería sin dudarlo.",ASE005,Call Center,15,Completada
ENC006,2024-01-20,CLI006,SUC001,3,"Malísimo el servicio. Llegué a las 9am y salí a las 12pm para algo que debería tomar 15 minutos. Los asesores parecen que no conocen los procedimientos básicos de la empresa. Además no hay aire acondicionado y hace un calor insoportable.",ASE001,Presencial,195,Completada
ENC007,2024-01-21,CLI007,SUC004,7,"Bien en general, aunque podría mejorar. El asesor Carlos fue paciente conmigo y me explicó todo paso a paso. Lo único malo es que no tenían el chip que necesitaba y tuve que volver otro día.",ASE006,Presencial,45,Completada
ENC008,2024-01-22,CLI008,SUC002,0,"No puedo creer lo mal que me trataron. La señorita de recepción me gritó delante de todos porque supuestamente llegué tarde a mi cita (llegué 5 minutos tarde). Después me hicieron esperar 1 hora más de castigo. Un asco de servicio, cambio de operadora mañana mismo.",ASE007,Presencial,125,Completada
ENC009,2024-01-23,CLI009,SUC003,5,"Ni fu ni fa. Normal el servicio, nada especial. El chamo que me atendió estaba en su cel la mitad del tiempo pero al final hizo su trabajo. La conexión wifi de la tienda es lenta.",ASE008,Presencial,55,Completada
ENC010,2024-01-24,CLI010,SUC001,10,"¡Increíble atención! 🌟 Ana fue fantástica, me resolvió un problema que tenía hace meses con mi plan. Súper rápida y eficiente. La sucursal estaba organizada y no tuve que esperar nada. Definitivamente la mejor experiencia que he tenido con una empresa de telefonía.",ASE009,Presencial,12,Completada
ENC011,2024-01-25,CLI011,SUC002,2,"Pésimo servicio técnico. Llamé porque mi internet no funcionaba hace una semana y me dijeron que mandarían un técnico en 24 horas. Han pasado 5 días y nada. Cuando llamo al call center me dan vueltas y vueltas. Ya no sé qué más hacer.",ASE010,Call Center,85,Completada
ENC012,2024-01-26,CLI012,SUC004,8,"Muy satisfecho con el servicio. Roberto me ayudó con la portabilidad de mi número y todo salió perfecto. El proceso fue más rápido de lo esperado y me mantuvieron informado en todo momento.",ASE011,Online,30,Completada
ENC013,2024-01-27,CLI013,SUC001,1,"QUÉ DESASTRE DE EMPRESA!!! No pueden ser más ineptos. Fui a cambiar de plan y terminaron cancelando mi línea por error. Ahora llevo 3 días sin servicio y nadie me da una solución. El supervisor me colgó el teléfono. INDECOPI ya!",ASE003,Presencial,165,Completada
ENC014,2024-01-28,CLI014,SUC003,6,"Bueno, no está mal pero tampoco está bien. La atención es lenta pero al final resuelven. El local está bien ubicado pero siempre está lleno. Sugiero implementar un sistema de citas más eficiente.",ASE012,Presencial,75,Completada
ENC015,2024-01-29,CLI015,SUC002,9,"Top! 💯 La flaca que me atendió (creo que se llama Lucía) fue súper buena onda. Me cambió a un plan mejor y más barato. Además me regaló un case para el cel. Servicio de primera, se nota que capacitan bien a su personal.",ASE013,Presencial,20,Completada
ENC016,2024-01-30,CLI016,SUC001,3,"Muy decepcionante. Tengo 15 años siendo cliente y cada vez el servicio es peor. Los asesores nuevos no saben nada y los veteranos están amargados. Además subieron los precios sin avisar bien. Estoy evaluando irme a la competencia.",ASE014,Call Center,95,Completada
ENC017,2024-02-01,CLI017,SUC004,7,"Acceptable. El servicio cumplió mis expectativas básicas. Andrea fue correcta en su atención, aunque no se esforzó mucho por ayudarme con opciones adicionales. El local estaba ordenado y la espera fue razonable.",ASE015,Presencial,40,Completada
ENC018,2024-02-02,CLI018,SUC003,0,"NUNCA HABÍA VIVIDO ALGO TAN HUMILLANTE. El gerente de la sucursal me trató como si fuera un delincuente solo porque reclamé por una facturación incorrecta. Me gritó delante de todos los clientes y me amenazó con llamar a seguridad. VERGONZOSO.",ASE016,Presencial,155,Completada
ENC019,2024-02-03,CLI019,SUC002,5,"Regular, nothing special. El pata que me atendió hizo su chamba pero sin ganas. Se notaba que quería que me fuera rápido. Al final arregló mi problema pero la actitud fue mala. Pueden mejorar en capacitación de servicio al cliente.",ASE017,Presencial,50,Completada
ENC020,2024-02-04,CLI020,SUC001,8,"Muy buena experiencia en general. Diego fue muy profesional y me explicó todas las opciones disponibles. El único detalle es que no tenían todos los accesorios en stock, pero me los apartaron para el día siguiente. Buen servicio.",ASE018,Online,28,Completada
ENC021,2024-02-05,CLI021,SUC004,2,"Terrible atención. Llegué con mi mamá de 75 años para ayudarla con su plan y el asesor fue súper impaciente con ella. Le hablaba fuerte como si fuera sorda y se burlaba de que no entendiera la tecnología. Falta de respeto total.",ASE019,Presencial,120,Completada
ENC022,2024-02-06,CLI022,SUC002,6,"Podría ser mejor. El servicio es básico, hacen lo mínimo indispensable. La sucursal está bien pero siempre está llena y solo hay 2 asesores atendiendo. Deberían poner más personal en horas pico.",ASE020,Presencial,68,Completada
ENC023,2024-02-07,CLI023,SUC003,9,"Súper recomendado! 😊 Patricia fue increíble, me ayudó con un problema complejo de facturación que tenía hace meses. Su paciencia y conocimiento técnico son destacables. Además me consiguió una promoción especial. Excelente trabajo!",ASE021,Call Center,22,Completada
ENC024,2024-02-08,CLI024,SUC001,1,"NO VUELVO MÁS. 3ra vez que vengo por el mismo problema y nadie lo soluciona. Cada asesor me dice algo diferente y al final no resuelven nada. El colmo fue que me cobraron una penalidad por un servicio que ellos cancelaron por error. ESTAFA PURA.",ASE022,Presencial,175,Completada
ENC025,2024-02-09,CLI025,SUC004,4,"Meh, así nomás. El pibe que me atendió estaba más pendiente de su Instagram que de mi consulta. Tuvo que preguntarle 3 veces a otro asesor para resolver algo básico. Al final lo solucionó pero la experiencia fue frustrante.",ASE023,Presencial,82,Completada
ENC026,2024-02-10,CLI026,SUC002,10,"PERFECT SERVICE! 🙌 Alejandra es una genia, me ayudó con todo lo que necesitaba y más. Super organized y knowledgeable. Me upgradó mi plan por el mismo precio y me regaló gigas extras. La sucursal también está muy nice, clean y modern.",ASE024,Presencial,18,Completada
ENC027,2024-02-11,CLI027,SUC001,3,"Servicio deficiente. El sistema estaba caído y nadie sabía cuándo se iba a arreglar. Me hicieron esperar 1 hora para decirme que vuelva otro día. Además el local estaba súper caluroso y no había donde sentarse cómodamente.",ASE025,Presencial,102,Completada
